Occupational_Group,Job_Family,Class_Code,Category,Range,Class_Title,SOC,EEO,State_and_Local_Job_Code,Census_EEO,AKPAY_Code
PA,PA01,PA0101,B,28,Deputy Commissioner,11-1021,EEO4-Officials & Administrators,1,20,P1951
PA,PA01,PA0102,B,27,Assistant Commissioner,11-1021,EEO4-Officials & Administrators,1,20,P1980
PA,PA01,PA0103,B,28,Chief of Operations,11-1021,EEO4-Officials & Administrators,1,20,
PA,PA01,PA0112,B,27,Division Director - PX,11-1021,EEO4-Officials & Administrators,1,20,P1901
PA,PA01,PA0113,B,24,Division Operations Manager,11-1021,EEO4-Officials & Administrators,1,20,K0051
PA,PA01,PA0114,B,25,Deputy Director,11-1021,EEO4-Officials & Administrators,1,20,K0054
PA,PA01,PA0121,B,28,Deputy Attorney General,23-1011,EEO4-Officials & Administrators,1,2100,P7148
PA,PA01,PA0122,B,27,Public Defender,23-1011,EEO4-Officials & Administrators,2,2100,P7160
PA,PA01,PA0143,B,27,"Director, Tax Division",11-1021,EEO4-Officials & Administrators,1,20,K0005
PA,PA01,PA0161,B,27,State Comptroller,13-2011,EEO4-Professionals,2,800,P1230
PA,PA01,PA0191,B,21,Special Assistant to the Commissioner 1,11-9199,EEO4-Officials & Administrators,1,430,P1917
PA,PA01,PA0192,B,23,Special Assistant to the Commissioner 2,11-9199,EEO4-Officials & Administrators,1,430,P1918
PB,PB01,PB0102,A,08,Office Assistant 1,43-9061,EEO4-Administrative Support,6,5860,P1134
PB,PB01,PB0103,A,10,Office Assistant 2,43-9061,EEO4-Administrative Support,6,5860,P1135
PB,PB01,PB0104,A,11,Office Assistant 3,43-9061,EEO4-Administrative Support,6,5860,K0077
PB,PB01,PB0105,A,12,Office Assistant 4,43-1011,EEO4-Administrative Support,6,5000,P1136
PB,PB01,PB0130,A,11,Secretary,43-6011,EEO4-Administrative Support,6,5700,P1151
PB,PB01,PB0135,A,12,Executive Secretary 1,43-6011,EEO4-Administrative Support,6,5700,P1155
PB,PB01,PB0136,A,14,Executive Secretary 2,43-6011,EEO4-Administrative Support,6,5700,P1154
PB,PB01,PB0137,A,16,Executive Secretary 3,43-6011,EEO4-Administrative Support,6,5700,P1156
PB,PB01,PB0151,A,12,Administrative Assistant 1,43-6011,EEO4-Administrative Support,6,5700,K0017
PB,PB01,PB0152,A,14,Administrative Assistant 2,43-6011,EEO4-Administrative Support,6,5700,K0018
PB,PB01,PB0153,A,15,Administrative Assistant 3,43-6011,EEO4-Administrative Support,6,5700,K0053
PB,PB01,PB0154,B,17,Administrative Officer 1,11-3012,EEO4-Professionals,1,100,K0019
PB,PB01,PB0155,B,19,Administrative Officer 2,11-3012,EEO4-Professionals,1,100,K0020
PB,PB01,PB0157,B,22,Administrative Operations Manager 1,11-3012,EEO4-Professionals,1,100,K0021
PB,PB01,PB0158,B,23,Administrative Operations Manager 2,11-3012,EEO4-Professionals,1,100,K0022
PB,PB02,PB0202,A,10,Accounting Clerk,43-3031,EEO4-Administrative Support,6,5120,P1203
PB,PB02,PB0205,A,12,Accounting Technician 1,43-3031,EEO4-Administrative Support,6,5120,P1210
PB,PB02,PB0206,A,14,Accounting Technician 2,43-3031,EEO4-Administrative Support,6,5120,P1211
PB,PB02,PB0207,A,16,Accounting Technician 3,13-2011,EEO4-Paraprofessionals,2,800,P1212
PB,PB02,PB0208,A,18,Accounting Technician 4,13-2011,EEO4-Paraprofessionals,2,800,P1235
PB,PB02,PB0211,B,14,Accountant 1,13-2011,EEO4-Professionals,2,800,P1204
PB,PB02,PB0212,B,16,Accountant 2,13-2011,EEO4-Professionals,2,800,P1205
PB,PB02,PB0213,B,18,Accountant 3,13-2011,EEO4-Professionals,2,800,P1206
PB,PB02,PB0214,B,20,Accountant 4,13-2011,EEO4-Professionals,2,800,P1207
PB,PB02,PB0215,B,22,Accountant 5,13-2011,EEO4-Professionals,2,800,P1208
PB,PB02,PB0222,B,24,State Accountant,13-2011,EEO4-Professionals,2,820,P1238
PB,PB02,PB0230,B,22,Payroll Manager,13-2011,EEO4-Professionals,2,800,P1249
PB,PB02,PB0231,B,16,Payroll Specialist 1,13-2011,EEO4-Professionals,2,800,P1244
PB,PB02,PB0232,B,18,Payroll Specialist 2,13-2011,EEO4-Professionals,2,800,P1245
PB,PB02,PB0233,B,20,Payroll Specialist 3,13-2011,EEO4-Professionals,2,800,P1246
PB,PB02,PB0242,B,17,Budget Analyst 1,13-2031,EEO4-Professionals,2,820,P1462
PB,PB02,PB0243,B,19,Budget Analyst 2,13-2031,EEO4-Professionals,2,820,P1463
PB,PB02,PB0244,B,21,Budget Analyst 3,13-2031,EEO4-Professionals,2,820,P1464
PB,PB02,PB0245,B,22,Budget Analyst 4,13-2031,EEO4-Professionals,2,820,P1465
PB,PB02,PB0255,B,26,"Chief Financial Officer, R&B",11-1011,EEO4-Officials & Administrators,1,110,K0123
PB,PB02,PB0261,B,23,"Executive Administrator, Board of Public Accountancy",13-2011,EEO4-Professionals,2,800,K0097
PB,PB03,PB0302,A,12,Human Resource Technician 1,43-3051,EEO4-Administrative Support,6,5140,P1406
PB,PB03,PB0303,A,14,Human Resource Technician 2,43-3051,EEO4-Administrative Support,6,5140,P1407
PB,PB03,PB0304,A,15,Human Resource Technician 3,43-3051,EEO4-Administrative Support,6,5140,P1408
PB,PB03,PB0305,B,17,Payroll Services Supervisor,13-1071,EEO4-Professionals,2,630,P1432
PB,PB03,PB0308,B,20,Payroll Services Assistant Manager,13-1071,EEO4-Professionals,2,630,K0124
PB,PB03,PB0311,B,16,Human Resource Consultant 1,13-1071,EEO4-Professionals,2,630,P1410
PB,PB03,PB0312,B,18,Human Resource Consultant 2,13-1071,EEO4-Professionals,2,630,P1411
PB,PB03,PB0313,B,20,Human Resource Consultant 4,13-1071,EEO4-Professionals,2,630,P1412
PB,PB03,PB0314,B,19,Human Resource Consultant 3,13-1071,EEO4-Professionals,2,630,K0125
PB,PB03,PB0315,B,22,Human Resource Consultant 5,11-3121,EEO4-Professionals,1,136,P1414
PB,PB03,PB0316,B,24,Human Resource Consultant 6,11-3121,EEO4-Professionals,1,136,P1415
PB,PB03,PB0321,B,18,Labor Relations Analyst 1,13-1075,EEO4-Professionals,2,630,P1421
PB,PB03,PB0322,B,20,Labor Relations Analyst 2,13-1075,EEO4-Professionals,2,630,P1422
PB,PB03,PB0323,B,22,Labor Relations Analyst 3,13-1075,EEO4-Professionals,2,630,P1423
PB,PB03,PB0324,B,23,Labor Relations Analyst 4,13-1075,EEO4-Professionals,2,630,
PB,PB03,PB0325,B,24,Labor Relations Manager,11-3121,EEO4-Professionals,1,50,P1431
PB,PB03,PB0332,A,12,Retirement and Benefits Technician 1,43-4161,EEO4-Administrative Support,6,5360,P1444
PB,PB03,PB0333,A,14,Retirement and Benefits Technician 2,43-4161,EEO4-Administrative Support,6,5360,P1445
PB,PB03,PB0341,B,16,Retirement and Benefits Specialist 1,13-1141,EEO4-Professionals,2,640,P1442
PB,PB03,PB0342,B,18,Retirement and Benefits Specialist 2,13-1141,EEO4-Professionals,2,640,P1449
PB,PB03,PB0343,B,20,Retirement and Benefits Specialist 3,13-1141,EEO4-Professionals,2,640,P1450
PB,PB03,PB0351,A,15,Alaska Marine Highway System Dispatcher,43-5032,EEO4-Administrative Support,6,5520,P1417
PB,PB04,PB0401,B,14,Analyst/Programmer 1,15-1251,EEO4-Professionals,2,1010,P1621
PB,PB04,PB0402,B,16,Analyst/Programmer 2,15-1251,EEO4-Professionals,2,1010,P1622
PB,PB04,PB0403,B,18,Analyst/Programmer 3,15-1251,EEO4-Professionals,2,1010,P1623
PB,PB04,PB0404,B,20,Analyst/Programmer 4,15-1251,EEO4-Professionals,2,1010,P1624
PB,PB04,PB0405,B,22,Analyst/Programmer 5,15-1251,EEO4-Professionals,2,1010,P1625
PB,PB04,PB0411,A,13,Data Processing Technician 1,15-1299,EEO4-Administrative Support,6,1107,P1611
PB,PB04,PB0412,A,15,Data Processing Technician 2,15-1299,EEO4-Administrative Support,6,1107,P1612
PB,PB04,PB0413,A,17,Data Processing Technician 3,15-1299,EEO4-Administrative Support,6,1107,P1613
PB,PB04,PB0415,B,19,Data Processing Production Manager,15-1211,EEO4-Professionals,2,1006,P1614
PB,PB04,PB0416,B,22,Data Processing Manager 1,11-3021,EEO4-Professionals,1,110,P1641
PB,PB04,PB0417,B,23,Data Processing Manager 2,11-3021,EEO4-Professionals,1,110,P1642
PB,PB04,PB0418,B,24,Data Processing Manager 3,11-3021,EEO4-Professionals,1,110,P1643
PB,PB04,PB0421,B,19,Data Communications Specialist 1,15-1244,EEO4-Professionals,2,1105,P1661
PB,PB04,PB0422,B,21,Data Communications Specialist 2,15-1244,EEO4-Professionals,2,1105,P1662
PB,PB04,PB0431,B,14,Microcomputer/Network Technician 1,15-1232,EEO4-Professionals,2,1050,P1631
PB,PB04,PB0432,B,16,Microcomputer/Network Technician 2,15-1243,EEO4-Professionals,2,1050,P1632
PB,PB04,PB0433,B,18,Microcomputer/Network Specialist 1,15-1244,EEO4-Professionals,2,1105,P1633
PB,PB04,PB0434,B,20,Microcomputer/Network Specialist 2,15-1244,EEO4-Professionals,2,1105,P1634
PB,PB04,PB0441,B,20,Database Specialist 1,15-1243,EEO4-Professionals,2,1060,P1826
PB,PB04,PB0442,B,21,Database Specialist 2,15-1243,EEO4-Professionals,2,1060,P1827
PB,PB04,PB0443,B,22,Database Specialist 3,15-1243,EEO4-Professionals,2,1060,P1828
PB,PB04,PB0451,B,20,Systems Programmer 1,15-1251,EEO4-Professionals,2,1010,P1651
PB,PB04,PB0452,B,22,Systems Programmer 2,15-1251,EEO4-Professionals,2,1010,P1652
PB,PB04,PB0453,B,23,Systems Programmer 3,15-1251,EEO4-Professionals,2,1010,P1653
PB,PB04,PB0454,B,25,Systems Programmer 4,15-1251,EEO4-Professionals,2,1010,P1654
PB,PB04,PB0471,B,18,Information System Coordinator,11-3021,EEO4-Professionals,1,110,K0085
PB,PB04,PB0491,B,16,Internet Specialist 1,15-1254,EEO4-Professionals,2,1030,K0003
PB,PB04,PB0492,B,19,Internet Specialist 2,15-1254,EEO4-Professionals,2,1030,K0004
PB,PB04,PB0495,B,15,GIS Analyst 1,17-1021,EEO4-Professionals,2,1310,K0102
PB,PB04,PB0496,B,17,GIS Analyst 2,17-1021,EEO4-Professionals,2,1310,K0103
PB,PB04,PB0497,B,19,GIS Analyst 3,17-1021,EEO4-Professionals,2,1310,K0104
PB,PB04,PB0498,B,21,GIS Analyst 4,17-1021,EEO4-Professionals,2,1310,K0105
PB,PB05,PB0501,A,10,Statistical Clerk,43-9199,EEO4-Administrative Support,6,5940,P1703
PB,PB05,PB0502,A,12,Statistical Technician 1,43-9199,EEO4-Administrative Support,6,5940,P1706
PB,PB05,PB0503,A,14,Statistical Technician 2,43-9199,EEO4-Administrative Support,6,5940,P1707
PB,PB05,PB0511,B,13,Research Analyst 1,15-2099,EEO4-Professionals,2,1240,P1792
PB,PB05,PB0512,B,16,Research Analyst 2,15-2099,EEO4-Professionals,2,1240,P1793
PB,PB05,PB0513,B,18,Research Analyst 3,15-2099,EEO4-Professionals,2,1240,P1794
PB,PB05,PB0514,B,21,Research Analyst 4,15-2099,EEO4-Professionals,2,1240,P1795
PB,PB05,PB0520,B,21,Operations Research Analyst,15-2031,EEO4-Professionals,2,1220,P1890
PB,PB05,PB0530,B,18,Equipment Operations Analyst,13-1081,EEO4-Professionals,2,700,P1790
PB,PB05,PB0540,B,22,"Chief, Health Analytics and Vital Records",11-9111,EEO4-Professionals,1,350,P1797
PB,PB05,PB0551,B,19,Demographer,15-2041,EEO4-Professionals,2,1240,P1721
PB,PB05,PB0552,B,22,State Demographer,11-9199,EEO4-Professionals,1,430,P2211
PB,PB06,PB0601,C,57,Stock and Parts Services 1,53-7065,EEO4-Administrative Support,6,5620,K0148
PB,PB06,PB0602,C,55,Stock and Parts Services 2,53-7065,EEO4-Administrative Support,6,5620,K0149
PB,PB06,PB0603,C,54,Stock and Parts Services 3,53-7065,EEO4-Administrative Support,6,5620,K0150
PB,PB06,PB0604,C,53,Stock and Parts Services 4,53-7065,EEO4-Administrative Support,6,5620,K0151
PB,PB06,PB0611,A,10,Supply Technician 1,43-3061,EEO4-Administrative Support,6,5150,P1310
PB,PB06,PB0612,A,12,Supply Technician 2,43-3061,EEO4-Administrative Support,6,5150,P1311
PB,PB06,PB0621,B,14,Contracting Officer 1,13-1023,EEO4-Professionals,2,530,P1343
PB,PB06,PB0622,B,16,Contracting Officer 2,13-1023,EEO4-Professionals,2,530,P1344
PB,PB06,PB0623,B,19,Contracting Officer 3,13-1023,EEO4-Professionals,2,530,P1345
PB,PB06,PB0624,B,22,Contracting Officer 4,13-1023,EEO4-Professionals,2,530,P1346
PB,PB06,PB0631,B,14,Procurement Specialist 1,13-1023,EEO4-Professionals,2,530,P1331
PB,PB06,PB0632,B,16,Procurement Specialist 2,13-1023,EEO4-Professionals,2,530,P1332
PB,PB06,PB0633,B,18,Procurement Specialist 3,13-1023,EEO4-Professionals,2,530,P1333
PB,PB06,PB0634,B,20,Procurement Specialist 4,13-1023,EEO4-Professionals,2,530,P1334
PB,PB06,PB0635,B,21,Procurement Specialist 5,13-1023,EEO4-Professionals,2,530,P1335
PB,PB06,PB0640,B,25,Chief Procurement Officer,11-3061,EEO4-Professionals,1,150,P1347
PB,PB06,PB0650,B,23,Chief Contracts Officer,11-3061,EEO4-Professionals,1,150,P1349
PB,PB07,PB0701,B,28,State Chief Information Officer,11-1011,EEO4-Officials & Administrators,1,10,
PB,PB07,PB0702,B,27,Deputy Chief Information Officer,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0705,B,24,Chief Technology Officer 1,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0706,B,25,Chief Technology Officer 2,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0707,B,26,Chief Technology Officer 3,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0709,B,25,OIT Chief Workforce and Finance Officer,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0711,B,23,Department Technology Officer 1,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0712,B,24,Department Technology Officer 2,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0713,B,25,Department Technology Officer 3,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0720,B,24,Technology Architecture Specialist,15-1243,EEO4-Professionals,2,1107,
PB,PB07,PB0721,B,16,Business Analytics & Intelligence Analyst 1,15-1299,EEO4-Professionals,2,1107,
PB,PB07,PB0722,B,18,Business Analytics & Intelligence Analyst 2,15-1299,EEO4-Professionals,2,1107,
PB,PB07,PB0723,B,21,Business Analytics & Intelligence Analyst 3,15-1299,EEO4-Professionals,2,1107,
PB,PB07,PB0725,B,24,P3 Manager,11-3021,EEO4-Professionals,1,110,
PB,PB07,PB0726,B,24,Information Security Officer,15-1212,EEO4-Professionals,2,1007,
PB,PB07,PB0771,B,20,Business Systems Analyst,11-3021,EEO4-Professionals,1,110,
PB,PB99,PB9901,B,19,Claims Administrator,13-2099,EEO4-Professionals,2,950,P2390
PB,PB99,PB9902,B,22,Risk Manager,11-9199,EEO4-Professionals,1,430,P2391
PB,PB99,PB9904,B,24,Veterans Affairs Administrator,11-1021,EEO4-Officials & Administrators,1,20,P1919
PB,PB99,PB9905,B,21,"Executive Director, Violent Crimes Compensation Board",11-1021,EEO4-Officials & Administrators,1,20,P1958
PB,PB99,PB9907,B,19,Cultural Resource Manager and Native Liaison,13-1199,EEO4-Professionals,2,740,P1920
PB,PB99,PB9908,B,16,Project Assistant,13-1199,EEO4-Professionals,2,740,K0070
PB,PB99,PB9909,B,18,Program Coordinator 1,11-9199,EEO4-Professionals,1,430,K0071
PB,PB99,PB9910,B,20,Program Coordinator 2,11-9199,EEO4-Professionals,1,430,K0072
PB,PB99,PB9912,B,22,Program Manager,11-9199,EEO4-Professionals,2,430,
PB,PB99,PB9915,B,20,Business Services Project Manager 1,13-1082,EEO4-Professionals,2,700,N/A
PB,PB99,PB9916,B,22,Business Services Project Manager 2,13-1082,EEO4-Professionals,2,700,N/A
PB,PB99,PB9991,B,18,Business Analyst 1,13-1199,EEO4-Professionals,2,740,K0106
PB,PB99,PB9992,B,20,Business Analyst 2,13-1199,EEO4-Professionals,2,740,K0107
PB,PB99,PB9993,B,22,Business Analyst 3,11-9199,EEO4-Professionals,1,430,K0108
PB,PB99,PB9994,B,24,Business Analyst 4,11-9199,EEO4-Officials & Administrators,1,430,K0120
PC,PC01,PC0101,B,14,Grants Administrator 1,13-1199,EEO4-Professionals,2,740,P2269
PC,PC01,PC0102,B,17,Grants Administrator 2,13-1199,EEO4-Professionals,2,740,P2270
PC,PC01,PC0103,B,19,Grants Administrator 3,13-1199,EEO4-Professionals,2,740,P2271
PC,PC01,PC0105,B,21,Grants Administration Manager,13-1199,EEO4-Professionals,2,740,K0045
PC,PC01,PC0109,B,23,Grants and Procurement Manager,11-3061,EEO4-Professionals,1,150,K0046
PC,PC01,PC0111,A,10,Loan Closer/Processor 1,43-4131,EEO4-Administrative Support,6,5330,P2116
PC,PC01,PC0112,A,12,Loan Closer/Processor 2,43-4131,EEO4-Administrative Support,6,5330,P2117
PC,PC01,PC0113,A,14,Loan Closer/Processor 3,43-4131,EEO4-Administrative Support,6,5330,P2118
PC,PC01,PC0121,B,16,Loan/Collection Officer 1,13-2072,EEO4-Professionals,2,910,P2113
PC,PC01,PC0122,B,18,Loan/Collection Officer 2,13-2072,EEO4-Professionals,2,910,P2114
PC,PC01,PC0123,B,20,Loan/Collection Officer 3,13-2072,EEO4-Professionals,2,910,P2115
PC,PC01,PC0125,B,22,Loan/Collection Manager,11-3031,EEO4-Professionals,1,120,P2120
PC,PC01,PC0131,B,16,School Finance Specialist 1,13-2099,EEO4-Professionals,2,950,P1240
PC,PC01,PC0132,B,18,School Finance Specialist 2,13-2099,EEO4-Professionals,2,950,P1241
PC,PC01,PC0135,B,23,School Finance Manager,13-2099,EEO4-Professionals,2,950,P1243
PC,PC02,PC0205,A,12,Insurance Licensing Examiner 1,43-4031,EEO4-Administrative Support,6,5220,P2344
PC,PC02,PC0206,A,14,Insurance Licensing Examiner 2,43-4031,EEO4-Administrative Support,6,5220,P2345
PC,PC02,PC0209,A,16,Records and Licensing Supervisor,43-1011,EEO4-Administrative Support,6,5000,P1905
PC,PC02,PC0211,B,16,Consumer Service Specialist (Insurance),43-4051,EEO4-Professionals,6,5240,P2319
PC,PC02,PC0212,B,18,Consumer Service Supervisor (Insurance),43-4051,EEO4-Professionals,6,5240,P2318
PC,PC02,PC0215,B,16,Consumer Protection & Information Officer (RCA) 1,13-1041,EEO4-Professionals,2,565,P2365
PC,PC02,PC0216,B,18,Consumer Protection and Information Officer (RCA) 2,13-1041,EEO4-Professionals,2,565,P2366
PC,PC02,PC0220,A,14,Financial Registration Examiner,43-3031,EEO4-Paraprofessionals,6,5120,
PC,PC02,PC0232,B,17,Insurance Specialist 1,13-1041,EEO4-Professionals,2,565,P2358
PC,PC02,PC0233,B,19,Insurance Specialist 2,13-1041,EEO4-Professionals,2,565,P2359
PC,PC02,PC0234,B,21,Insurance Specialist 3,13-1041,EEO4-Professionals,2,565,P2354
PC,PC02,PC0236,B,19,Insurance Financial Examiner 1,13-2061,EEO4-Professionals,2,900,P2300
PC,PC02,PC0237,B,21,Insurance Financial Examiner 2,13-2061,EEO4-Professionals,2,900,P2301
PC,PC02,PC0238,B,23,Insurance Financial Examiner 3,13-2061,EEO4-Professionals,2,900,P2302
PC,PC02,PC0241,B,18,Communications Common Carrier Specialist 1,13-1041,EEO4-Professionals,2,565,P2360
PC,PC02,PC0242,B,20,Communications Common Carrier Specialist 2,13-1041,EEO4-Professionals,2,565,P2361
PC,PC02,PC0243,B,22,Communications Common Carrier Specialist 3,13-1041,EEO4-Professionals,2,565,P2362
PC,PC02,PC0244,B,24,Communications Common Carrier Specialist 4,13-1041,EEO4-Professionals,2,565,P2363
PC,PC02,PC0251,B,17,Utility Financial Analyst 1,13-2051,EEO4-Professionals,1,840,P2334
PC,PC02,PC0252,B,19,Utility Financial Analyst 2,13-2051,EEO4-Professionals,1,840,P2335
PC,PC02,PC0253,B,21,Utility Financial Analyst 3,13-2051,EEO4-Professionals,1,840,P2336
PC,PC02,PC0254,B,23,Utility Financial Analyst 4,13-2051,EEO4-Professionals,1,840,P2337
PC,PC02,PC0256,B,16,Utility Tariff Analyst 1,13-2099,EEO4-Professionals,1,950,P2384
PC,PC02,PC0257,B,18,Utility Tariff Analyst 2,13-2099,EEO4-Professionals,1,950,P2385
PC,PC02,PC0258,B,20,Utility Tariff Analyst 3,13-2099,EEO4-Professionals,1,950,P2386
PC,PC02,PC0259,B,22,Public Advocate Utility Analyst 1,13-2099,EEO4-Professionals,2,950,K0006
PC,PC02,PC0260,B,24,Public Advocate Utility Analyst 2,13-2099,EEO4-Professionals,2,950,K0007
PC,PC02,PC0261,B,16,Community Care Licensing Specialist 1,13-1041,EEO4-Professionals,2,565,P4275
PC,PC02,PC0262,B,18,Community Care Licensing Specialist 2,13-1041,EEO4-Professionals,2,565,P4276
PC,PC02,PC0263,B,20,Community Care Licensing Specialist 3,13-1041,EEO4-Professionals,2,565,P4277
PC,PC02,PC0271,B,17,Financial Examiner 1,13-2061,EEO4-Professionals,2,900,K0158
PC,PC02,PC0272,B,19,Financial Examiner 2,13-2061,EEO4-Professionals,2,900,K0159
PC,PC02,PC0273,B,21,Financial Examiner 3,13-2061,EEO4-Professionals,2,900,K0160
PC,PC02,PC0274,B,23,Financial Examiner 4,13-2061,EEO4-Professionals,2,900,K0161
PC,PC02,PC0280,A,12,Wage-Hour Technician,13-1041,EEO4-Professionals,2,565,P4670
PC,PC02,PC0291,B,24,"Deputy Director, Insurance",11-3031,EEO4-Professionals,1,120,P2307
PC,PC02,PC0292,B,19,"Executive Administrator, Real Estate Commission",11-9141,EEO4-Professionals,1,410,P2327
PC,PC02,PC0293,B,18,"Executive Administrator, State Board of Registration for Architects, Engineers and Land Surveyors",11-9199,EEO4-Professionals,1,430,P2328
PC,PC02,PC0294,B,23,"Executive Administrator, State Medical Board",11-9199,EEO4-Professionals,1,430,P2329
PC,PC02,PC02A1,A,14,Licensing Examiner 1,43-4031,EEO4-Administrative Support,6,5200,
PC,PC02,PC02A2,A,15,Licensing Examiner 2,43-4031,EEO4-Administrative Support,6,5200,
PC,PC02,PC02A3,A,17,Licensing Examiner 3,43-4031,EEO4-Administrative Support,6,5200,
PC,PC03,PC0301,C,13,Commercial Vehicle Compliance Inspector 1,13-1041,EEO4-Professionals,2,565,P2460
PC,PC03,PC0302,C,15,Commercial Vehicle Compliance Inspector 2,13-1041,EEO4-Professionals,2,565,P2461
